Name,ISO,GDP_2022,GDP_2023
Algeria,DZA,225560256621.7572,239899491127.74237
Angola,AGO,104399746853.40141,84722957642.37566
Azerbaijan,AZE,78807470588.2353,72356176470.58824
Argentina,ARG,631133384439.9445,640591410663.8834
Australia,AUS,1692956646855.7017,1723827215334.7063
Austria,AUT,470941926750.74115,516034144115.9503
Bahrain,BHR,44383297872.34042,43205000000
Barbados,BRB,5840673700,6393564189.61345
Belgium,BEL,583613982019.263,632216577075.1093
Bolivia,BOL,44008282879.884224,45849832906.413895
Bosnia and Herzegovina,BIH,24534663636.17784,27054889362.885204
Botswana,BWA,20321958850.03632,19395765126.312748
Brazil,BRA,1951923942083.3196,2173665655937.2737
Bulgaria,BGR,90346169914.93486,101584384672.78587
Belarus,BLR,73775179924.60303,71857382745.6066
Canada,CAN,2161483369422.0146,2140085567791.4514
Chile,CHL,302116539409.02985,335533331669.2191
Colombia,COL,345329875078.5117,363540156234.86835
Croatia,HRV,71997070660.48346,82688842717.3926
Cyprus,CYP,29250532020.074577,32229622669.195114
Czechia,CZE,290565654835.8094,330858339871.6861
Denmark,DNK,400167196948.7074,404198757537.9742
Dominican Republic,DOM,113537368176.1303,121444279313.93079
Ecuador,ECU,116586079000,118844826000
El Salvador,SLV,31988920000,34015620000.000004
Ethiopia,ETH,126772703047.70143,163697927593.98236
Estonia,EST,37921480881.542946,40744848827.95366
Finland,FIN,281887430795.72095,300187202696.08374
France,FRA,2779092236505.847,3030904089607.8965
Georgia,GEO,24984568959.604965,30535530479.022663
Germany,DEU,4082469490797.681,4456081016705.961
Ghana,GHA,74263364041.87419,76370394412.41626
Greece,GRC,217581324512.0592,238206312632.52774
Guatemala,GTM,95003330315.87544,102050473863.63637
Hungary,HUN,177006128624.62692,212388906458.72394
Iceland,ISL,28701830401.683697,31020032583.197216
Indonesia,IDN,1319076267310.162,1371171152331.155
Ireland,IRL,533140011838.27637,545629450403.7351
Israel,ISR,525002447652.77344,509901495702.1033
Italy,ITA,2066972096553.7046,2254851212731.8047
Cote d'Ivoire,CIV,70173140101.43147,78788828906.86345
Japan,JPN,4256410760723.75,4212945159781.403
Kazakhstan,KAZ,225496328925.4941,261421121085.57208
"Korea, Rep.",KOR,1673916511799.7087,1712792854202.3687
Kuwait,KWT,182809482400.92438,161772221950.94162
Kyrgyz Republic,KGZ,12134931017.946526,13987627908.838139
Latvia,LVA,40422521943.44179,43627078481.28705
Lithuania,LTU,71013953448.20845,77836396962.77196
Luxembourg,LUX,81641807865.75908,85755006123.5976
Madagascar,MDG,15302510500.052753,16031702914.91953
Malaysia,MYS,407027451714.61597,399648828546.5043
Malta,MLT,18357069272.768166,20956999452.431664
Mexico,MEX,1463323889036.5598,1788886821046.8132
Moldova,MDA,14510490660.251604,16539436547.294973
Morocco,MAR,130912558829.8398,141109373209.41437
Netherlands,NLD,1009398719033.0779,1118124749886.2942
New Zealand,NZL,246733522841.35272,253465703232.14594
Nicaragua,NIC,15649934214.927635,17829215283.799656
Norway,NOR,593726965415.6191,485513316503.63043
Peru,PER,246488757636.21066,267603248655.2527
Philippines,PHL,404353369604.6311,437146372729.94244
Poland,POL,689763329458.4408,811229100687.5663
Portugal,PRT,255196659934.37842,287080013574.4972
Romania,ROU,298891515898.0265,351002579629.6701
Russian Federation,RUS,2266029240645.338,2021421476035.417
