period,CPTOTNSXN
2000M01,76.18760725854
2000M02,76.49874739803
2000M03,76.72256169294
2000M04,76.79723965704
2000M05,76.89372814248
2000M06,77.0484381985
2000M07,77.12098089678
2000M08,77.28227165958
2000M09,77.74137591401
2000M10,77.8907497573
2000M11,78.02787351096
2000M12,78.15708406319
2001M01,78.42296938276
2001M02,78.64012982267
2001M03,78.81116390666
2001M04,79.1754838306
2001M05,79.47074435591
2001M06,79.4912580345
2001M07,79.39158993192
2001M08,79.49680186155
2001M09,79.77750230706
2001M10,79.80783239533
2001M11,79.74752932974
2001M12,79.81152182912
2002M01,80.06542694576
2002M02,80.31654460363
2002M03,80.54259931998
2002M04,80.85316141641
2002M05,80.97744672235
2002M06,80.94581170174
2002M07,80.95414883877
2002M08,81.17423138259
2002M09,81.4365251873
2002M10,81.61871789597
2002M11,81.77089557455
2002M12,81.9244894398
2003M01,82.31344757214
2003M02,82.75418889427
2003M03,83.06910606998
2003M04,83.13010735205
2003M05,83.09347013117
2003M06,83.01873154179
2003M07,82.98616316491
2003M08,83.22146824367
2003M09,83.57400257114
2003M10,83.7269636325
2003M11,83.79621542086
2003M12,83.96464531551
2004M01,84.23013882409
2004M02,84.47787786266
2004M03,84.84805986905
2004M04,85.13420555406
2004M05,85.44601823929
2004M06,85.54031625601
2004M07,85.50200344349
2004M08,85.7148141217
2004M09,85.98649217214
2004M10,86.34253431873
2004M11,86.39747240613
2004M12,86.40619290024
2005M01,86.52043945483
2005M02,86.95031360532
2005M03,87.32731196443
2005M04,87.64712263971
2005M05,87.71283198944
2005M06,87.66145935742
2005M07,87.88320417675
2005M08,88.15018843619
2005M09,88.693146108
2005M10,88.98104802624
2005M11,88.77997454115
2005M12,88.82801018189
2006M01,89.21515247759
2006M02,89.44699000415
2006M03,89.69498246329
2006M04,90.17909049787
2006M05,90.47914949263
2006M06,90.54541732661
2006M07,90.63512188036
2006M08,90.88945300502
2006M09,90.88861061121
2006M10,90.84468322611
2006M11,90.87048194429
2006M12,91.19918495691
2007M01,91.34411591676
2007M02,91.68922186542
2007M03,92.13462012715
2007M04,92.54260407494
2007M05,92.87100993366
2007M06,93.04526528865
2007M07,93.19304510621
2007M08,93.42465688269
2007M09,93.71608820266
2007M10,94.08563940644
2007M11,94.56238365558
2007M12,94.87784157723
2008M01,95.26907864307
2008M02,95.85404530884
2008M03,96.42519985111
2008M04,96.90200075059
2008M05,97.53559420082
2008M06,98.16777810849
2008M07,98.56986787501
2008M08,98.57411627304
2008M09,98.71806802052
2008M10,98.5499334919
2008M11,97.84973110213
2008M12,97.42534168637
2009M01,97.55092134375
