Period,ReporterISO,ReporterDesc,PartnerISO,PartnerDesc,PrimaryValue
1998,TWN,"China, Taiwan",AZE,Azerbaijan,4520.0
1998,TWN,"China, Taiwan",ARG,Argentina,1425274.0
1998,TWN,"China, Taiwan",AUS,Australia,27235750.0
1998,TWN,"China, Taiwan",AUT,Austria,4461680.0
1998,TWN,"China, Taiwan",BHR,Bahrain,6347.0
1998,TWN,"China, Taiwan",BGD,Bangladesh,538.0
1998,TWN,"China, Taiwan",ARM,Armenia,9221.0
1998,TWN,"China, Taiwan",BEL,Belgium-Luxembourg (...1998),19643288.0
1998,TWN,"China, Taiwan",BRA,Brazil,8315848.0
1998,TWN,"China, Taiwan",BGR,Bulgaria,301298.0
1998,TWN,"China, Taiwan",BLR,Belarus,84375.0
1998,TWN,"China, Taiwan",CAN,Canada,58861420.0
1998,TWN,"China, Taiwan",LKA,Sri Lanka,37664.0
1998,TWN,"China, Taiwan",CHL,Chile,82426.0
1998,TWN,"China, Taiwan",CHN,China,86685288.0
1998,TWN,"China, Taiwan",COL,Colombia,19310.0
1998,TWN,"China, Taiwan",CRI,Costa Rica,20958.0
1998,TWN,"China, Taiwan",HRV,Croatia,369568.0
1998,TWN,"China, Taiwan",CUB,Cuba,138719.0
1998,TWN,"China, Taiwan",CYP,Cyprus,173660.0
1998,TWN,"China, Taiwan",CZE,Czechia,497417.0
1998,TWN,"China, Taiwan",DNK,Denmark,5365738.0
1998,TWN,"China, Taiwan",EST,Estonia,6945.0
1998,TWN,"China, Taiwan",FJI,Fiji,10659.0
1998,TWN,"China, Taiwan",FIN,Finland,904831.0
1998,TWN,"China, Taiwan",FRA,France,101648528.0
1998,TWN,"China, Taiwan",DEU,Germany,94891048.0
1998,TWN,"China, Taiwan",GRC,Greece,1019449.0
1998,TWN,"China, Taiwan",GTM,Guatemala,1317.0
1998,TWN,"China, Taiwan",HKG,"China, Hong Kong SAR",2282342400.0
1998,TWN,"China, Taiwan",HUN,Hungary,472176.0
1998,TWN,"China, Taiwan",ISL,Iceland,8024.0
1998,TWN,"China, Taiwan",IDN,Indonesia,20573692.0
1998,TWN,"China, Taiwan",IRN,Iran,1315898.0
1998,TWN,"China, Taiwan",IRL,Ireland,44906792.0
