Period,ReporterISO,PartnerISO
2013,AUS,BRA
2013,AUS,CHN
2013,AUS,HKG
2013,AUS,JPN
2013,AUS,MYS
2013,AUS,NZL
2013,AUS,SGP
2013,AUS,USA
2013,AUT,BRA
2013,AUT,BGR
2013,AUT,CHN
2013,AUT,CZE
2013,AUT,DNK
2013,AUT,FRA
2013,AUT,DEU
2013,AUT,HKG
2013,AUT,HUN
2013,AUT,IDN
2013,AUT,ITA
2013,AUT,JPN
2013,AUT,KOR
2013,AUT,LTU
2013,AUT,MYS
2013,AUT,TWN
2013,AUT,NLD
2013,AUT,PHL
2013,AUT,POL
2013,AUT,ROU
2013,AUT,SGP
2013,AUT,SVK
2013,AUT,SVN
2013,AUT,ZAF
2013,AUT,ESP
2013,AUT,SWE
2013,AUT,CHE
2013,AUT,THA
2013,AUT,TUR
2013,AUT,UKR
2013,AUT,GBR
2013,AUT,USA
2013,BHR,SAU
2013,BEL,AUT
2013,BEL,BGR
2013,BEL,CAN
2013,BEL,CHN
2013,BEL,CZE
2013,BEL,DNK
2013,BEL,FRA
2013,BEL,DEU
2013,BEL,GRC
2013,BEL,HKG
2013,BEL,HUN
2013,BEL,IDN
2013,BEL,IRL
2013,BEL,ITA
2013,BEL,JPN
2013,BEL,KOR
2013,BEL,LUX
2013,BEL,MYS
2013,BEL,MEX
2013,BEL,TWN
2013,BEL,NLD
2013,BEL,NOR
2013,BEL,PHL
2013,BEL,POL
2013,BEL,PRT
2013,BEL,ROU
2013,BEL,RUS
2013,BEL,IND
2013,BEL,SGP
2013,BEL,SVK
2013,BEL,ZAF
2013,BEL,ESP
2013,BEL,SWE
2013,BEL,CHE
2013,BEL,THA
2013,BEL,ARE
2013,BEL,TUR
2013,BEL,UKR
2013,BEL,GBR
2013,BEL,USA
2013,BRA,CHN
2013,BRA,FRA
2013,BRA,HKG
2013,BRA,HUN
2013,BRA,KOR
2013,BRA,VNM
2013,BRA,THA
2013,BRA,USA
2013,BGR,BEL
2013,BGR,CHN
2013,BGR,FRA
2013,BGR,DEU
2013,BGR,GRC
2013,BGR,HKG
2013,BGR,HUN
2013,BGR,IDN
2013,BGR,ITA
2013,BGR,JPN
2013,BGR,KOR
2013,BGR,MYS
2013,BGR,MEX
2013,BGR,TWN
2013,BGR,NLD
2013,BGR,PHL
2013,BGR,IND
2013,BGR,SGP
2013,BGR,THA
2013,BGR,GBR
2013,BGR,USA
2013,BLR,CHN
2013,BLR,HKG
2013,BLR,KOR
2013,BLR,LVA
2013,BLR,RUS
2013,BLR,IND
2013,CAN,LKA
2013,CAN,CHN
2013,CAN,CUB
2013,CAN,CZE
2013,CAN,FRA
2013,CAN,DEU
2013,CAN,HKG
2013,CAN,HUN
2013,CAN,ITA
2013,CAN,JPN
2013,CAN,KOR
2013,CAN,MYS
2013,CAN,MEX
2013,CAN,TWN
2013,CAN,NLD
2013,CAN,RUS
2013,CAN,IND
2013,CAN,SGP
2013,CAN,THA
2013,CAN,GBR
2013,CAN,USA
2013,LKA,DEU
2013,LKA,USA
2013,CHN,ARG
2013,CHN,AUS
2013,CHN,AUT
2013,CHN,BGD
2013,CHN,BEL
2013,CHN,BRA
2013,CHN,MMR
2013,CHN,CAN
2013,CHN,CRI
2013,CHN,CZE
2013,CHN,DNK
2013,CHN,FIN
2013,CHN,FRA
2013,CHN,DEU
2013,CHN,HKG
2013,CHN,HUN
2013,CHN,IDN
2013,CHN,IRN
2013,CHN,IRL
2013,CHN,ISR
2013,CHN,ITA
2013,CHN,JPN
2013,CHN,KOR
2013,CHN,LAO
2013,CHN,MAC
2013,CHN,MYS
2013,CHN,MEX
2013,CHN,TWN
2013,CHN,MAR
2013,CHN,NLD
2013,CHN,PAK
2013,CHN,PHL
2013,CHN,POL
2013,CHN,PRT
2013,CHN,ROU
2013,CHN,RUS
2013,CHN,IND
2013,CHN,SGP
2013,CHN,SVK
2013,CHN,VNM
2013,CHN,ZAF
2013,CHN,ESP
2013,CHN,SWE
2013,CHN,CHE
2013,CHN,THA
2013,CHN,ARE
2013,CHN,TUN
2013,CHN,TUR
2013,CHN,UKR
2013,CHN,GBR
2013,CHN,USA
2013,CHN,URY
2013,CHN,VEN
2013,COL,USA
2013,CRI,AND
2013,CRI,CHN
2013,CRI,HKG
2013,CRI,IRL
2013,CRI,JPN
2013,CRI,KOR
2013,CRI,MYS
2013,CRI,MEX
2013,CRI,TWN
2013,CRI,NLD
2013,CRI,IND
2013,CRI,SGP
2013,CRI,USA
2013,CZE,DZA
2013,CZE,AUT
2013,CZE,BEL
2013,CZE,BGR
2013,CZE,BLR
2013,CZE,CHN
2013,CZE,HRV
2013,CZE,CYP
2013,CZE,DNK
2013,CZE,FIN
2013,CZE,FRA
2013,CZE,DEU
2013,CZE,GRC
2013,CZE,HKG
2013,CZE,HUN
2013,CZE,IRL
2013,CZE,ISR
2013,CZE,ITA
2013,CZE,KAZ
2013,CZE,LVA
2013,CZE,LTU
2013,CZE,LUX
2013,CZE,MYS
2013,CZE,NLD
2013,CZE,PHL
2013,CZE,POL
2013,CZE,PRT
2013,CZE,ROU
2013,CZE,RUS
2013,CZE,SAU
2013,CZE,SRB
2013,CZE,SGP
2013,CZE,SVK
2013,CZE,SVN
2013,CZE,ZAF
2013,CZE,ESP
2013,CZE,SWE
2013,CZE,CHE
2013,CZE,ARE
2013,CZE,TUR
2013,CZE,UKR
2013,CZE,GBR
2013,CZE,USA
2013,DNK,AUT
2013,DNK,BEL
2013,DNK,CHN
2013,DNK,FRO
2013,DNK,FIN
2013,DNK,FRA
2013,DNK,DEU
2013,DNK,GRL
2013,DNK,HKG
2013,DNK,HUN
2013,DNK,ITA
2013,DNK,JPN
2013,DNK,KOR
2013,DNK,MYS
2013,DNK,MEX
2013,DNK,NLD
2013,DNK,NOR
2013,DNK,POL
2013,DNK,RUS
2013,DNK,SGP
2013,DNK,SWE
2013,DNK,CHE
2013,DNK,THA
2013,DNK,GBR
2013,DNK,USA
2013,DOM,USA
2013,EST,CHN
2013,EST,FIN
2013,EST,FRA
2013,EST,POL
2013,EST,RUS
2013,EST,SWE
2013,FIN,CHN
2013,FIN,EST
2013,FIN,DEU
2013,FIN,HKG
2013,FIN,IRL
2013,FIN,ISR
2013,FIN,ITA
2013,FIN,MYS
2013,FIN,POL
2013,FIN,RUS
2013,FIN,IND
2013,FIN,SWE
2013,FIN,THA
2013,FIN,GBR
2013,FIN,USA
2013,FRA,AUS
2013,FRA,AUT
2013,FRA,BEL
2013,FRA,BRA
2013,FRA,BGR
2013,FRA,CAN
2013,FRA,CHN
2013,FRA,CYP
2013,FRA,CZE
2013,FRA,DNK
2013,FRA,EST
2013,FRA,FIN
2013,FRA,DEU
2013,FRA,GRC
2013,FRA,HKG
2013,FRA,HUN
2013,FRA,IRL
2013,FRA,ISR
2013,FRA,ITA
2013,FRA,JPN
2013,FRA,KAZ
2013,FRA,KOR
2013,FRA,MYS
2013,FRA,MLT
2013,FRA,MEX
2013,FRA,TWN
2013,FRA,MAR
2013,FRA,NLD
2013,FRA,NZL
2013,FRA,NGA
2013,FRA,NOR
2013,FRA,PHL
2013,FRA,POL
2013,FRA,PRT
2013,FRA,ROU
2013,FRA,RUS
2013,FRA,SRB
2013,FRA,IND
2013,FRA,SGP
2013,FRA,SVK
2013,FRA,VNM
2013,FRA,ZAF
2013,FRA,ESP
2013,FRA,SWE
2013,FRA,CHE
2013,FRA,THA
2013,FRA,ARE
