year,iso3_d,dist,gdp_source_o,gdp_source_d,gdp_ppp_o,gdp_ppp_d,fta_wto
1996,ABW,15671.0,3.0,1.0,,,0.0
1997,ABW,15671.0,3.0,1.0,,,0.0
1998,ABW,15671.0,3.0,1.0,,,0.0
1999,ABW,15671.0,3.0,1.0,,,0.0
2000,ABW,15671.0,3.0,1.0,,,0.0
2001,ABW,15671.0,3.0,1.0,,,0.0
2002,ABW,15671.0,3.0,1.0,,,0.0
2003,ABW,15671.0,3.0,1.0,,,0.0
2004,ABW,15671.0,3.0,1.0,,,0.0
2005,ABW,15671.0,3.0,1.0,,,0.0
2006,ABW,15671.0,3.0,1.0,,,0.0
2007,ABW,15671.0,3.0,1.0,,,0.0
2008,ABW,15671.0,3.0,1.0,,,0.0
2009,ABW,15671.0,3.0,1.0,,,0.0
2010,ABW,15671.0,3.0,1.0,,,0.0
2011,ABW,15671.0,3.0,1.0,,3671232.222,0.0
2012,ABW,15671.0,3.0,,,,0.0
2013,ABW,15671.0,3.0,,,,0.0
2014,ABW,15671.0,3.0,,,,0.0
2015,ABW,15671.0,3.0,,,,0.0
2016,ABW,15671.0,3.0,,,,0.0
2017,ABW,15671.0,3.0,,,4097906.578,0.0
2018,ABW,15671.0,3.0,,,4248976.006,0.0
2019,ABW,15671.0,3.0,,,4234776.343,0.0
2020,ABW,15671.0,,,,3329266.442,0.0
2021,ABW,15671.0,,,,,0.0
1996,AFG,5109.0,3.0,,,,0.0
1997,AFG,5109.0,3.0,,,,0.0
1998,AFG,5109.0,3.0,,,,0.0
1999,AFG,5109.0,3.0,,,,0.0
2000,AFG,5109.0,3.0,,,,0.0
2001,AFG,5109.0,3.0,1.0,,,0.0
2002,AFG,5109.0,3.0,1.0,,19243809.663,0.0
2003,AFG,5109.0,3.0,1.0,,21284923.743,0.0
2004,AFG,5109.0,3.0,1.0,,22101051.955,0.0
2005,AFG,5109.0,3.0,1.0,,25361507.05,0.0
2006,AFG,5109.0,3.0,1.0,,27592569.519,0.0
2007,AFG,5109.0,3.0,1.0,,32219074.825,0.0
2008,AFG,5109.0,3.0,1.0,,34037462.001,0.0
2009,AFG,5109.0,3.0,1.0,,41505186.409,0.0
2010,AFG,5109.0,3.0,1.0,,45555113.006,0.0
2011,AFG,5109.0,3.0,1.0,,49338254.431,0.0
2012,AFG,5109.0,3.0,1.0,,57500127.993,0.0
2013,AFG,5109.0,3.0,1.0,,59573450.332,0.0
2014,AFG,5109.0,3.0,1.0,,61435943.662,0.0
2015,AFG,5109.0,3.0,1.0,,62787809.846,0.0
2016,AFG,5109.0,3.0,1.0,,65033592.566,0.0
2017,AFG,5109.0,3.0,,,74711922.906,0.0
2018,AFG,5109.0,3.0,,,77406520.333,0.0
2019,AFG,5109.0,3.0,,,81873098.235,0.0
2020,AFG,5109.0,,,,80911742.459,0.0
2021,AFG,5109.0,,,,,0.0
1996,AGO,12260.0,3.0,1.0,,34945786.283,0.0
1997,AGO,12260.0,3.0,1.0,,38351851.583,0.0
1998,AGO,12260.0,3.0,1.0,,41406142.195,0.0
1999,AGO,12260.0,3.0,1.0,,43401794.411,0.0
2000,AGO,12260.0,3.0,1.0,,45726453.705,0.0
2001,AGO,12260.0,3.0,1.0,,48742596.951,0.0
2002,AGO,12260.0,3.0,1.0,,46055962.673,0.0
2003,AGO,12260.0,3.0,1.0,,49439320.644,0.0
2004,AGO,12260.0,3.0,1.0,,56325455.002,0.0
2005,AGO,12260.0,3.0,1.0,,68754610.654,0.0
2006,AGO,12260.0,3.0,1.0,,85561283.21,0.0
2007,AGO,12260.0,3.0,1.0,,107683724.422,0.0
2008,AGO,12260.0,3.0,1.0,,124966743.631,0.0
2009,AGO,12260.0,3.0,1.0,,128953968.329,0.0
2010,AGO,12260.0,3.0,1.0,,134976922.759,0.0
2011,AGO,12260.0,3.0,1.0,,143162097.316,0.0
2012,AGO,12260.0,3.0,1.0,,153315808.793,0.0
2013,AGO,12260.0,3.0,1.0,,166406882.655,0.0
2014,AGO,12260.0,3.0,1.0,,177524262.453,0.0
2015,AGO,12260.0,3.0,1.0,,184829836.45,0.0
2016,AGO,12260.0,3.0,1.0,,187260629.535,0.0
2017,AGO,12260.0,3.0,,,217987313.632,0.0
2018,AGO,12260.0,3.0,,,220257110.789,0.0
2019,AGO,12260.0,3.0,,,222627505.704,0.0
2020,AGO,12260.0,,,,212918601.686,0.0
2021,AGO,12260.0,,,,223318519.926,0.0
1996,AIA,15197.0,3.0,,,,0.0
1997,AIA,15197.0,3.0,,,,0.0
1998,AIA,15197.0,3.0,,,,0.0
1999,AIA,15197.0,3.0,,,,0.0
2000,AIA,15197.0,3.0,,,,0.0
2001,AIA,15197.0,3.0,,,,0.0
2002,AIA,15197.0,3.0,,,,0.0
2003,AIA,15197.0,3.0,,,,0.0
2004,AIA,15197.0,3.0,,,,0.0
2005,AIA,15197.0,3.0,,,,0.0
2006,AIA,15197.0,3.0,,,,0.0
2007,AIA,15197.0,3.0,,,,0.0
2008,AIA,15197.0,3.0,,,,0.0
2009,AIA,15197.0,3.0,,,,0.0
2010,AIA,15197.0,3.0,,,,0.0
2011,AIA,15197.0,3.0,,,,0.0
2012,AIA,15197.0,3.0,,,,0.0
2013,AIA,15197.0,3.0,,,,0.0
2014,AIA,15197.0,3.0,,,,0.0
2015,AIA,15197.0,3.0,,,,0.0
2016,AIA,15197.0,3.0,,,,0.0
2017,AIA,15197.0,3.0,,,,0.0
2018,AIA,15197.0,3.0,,,,0.0
2019,AIA,15197.0,3.0,,,,0.0
2020,AIA,15197.0,,,,,0.0
2021,AIA,15197.0,,,,,0.0
1996,ALB,9118.0,3.0,1.0,,9849995.926,0.0
1997,ALB,9118.0,3.0,1.0,,8932779.83,0.0
1998,ALB,9118.0,3.0,1.0,,10039320.661,0.0
1999,ALB,9118.0,3.0,1.0,,11473531.925,0.0
2000,ALB,9118.0,3.0,1.0,,12438082.812,0.0
2001,ALB,9118.0,3.0,1.0,,13659489.145,0.0
2002,ALB,9118.0,3.0,1.0,,14506563.585,0.0
2003,ALB,9118.0,3.0,1.0,,15546981.65,0.0
2004,ALB,9118.0,3.0,1.0,,16723600.847,0.0
2005,ALB,9118.0,3.0,1.0,,17896875.998,0.0
2006,ALB,9118.0,3.0,1.0,,19854888.657,0.0
2007,ALB,9118.0,3.0,1.0,,21650332.052,0.0
2008,ALB,9118.0,3.0,1.0,,24251553.045,0.0
2009,ALB,9118.0,3.0,1.0,,25831850.887,0.0
2010,ALB,9118.0,3.0,1.0,,28100794.191,0.0
2011,ALB,9118.0,3.0,1.0,,29655360.961,0.0
2012,ALB,9118.0,3.0,1.0,,30530341.176,0.0
