Period,ip
2010-01-01,48.9603
2010-02-01,50.7856
2010-03-01,52.223
2010-04-01,53.0761
2010-05-01,53.6887
2010-06-01,53.9244
2010-07-01,54.6826
2010-08-01,55.384
2010-09-01,55.8684
2010-10-01,56.33
2010-11-01,57.5808
2010-12-01,59.3844
2011-01-01,60.3922
2011-02-01,60.6612
2011-03-01,60.3466
2011-04-01,60.2669
2011-05-01,60.5774
2011-06-01,60.9914
2011-07-01,60.8611
2011-08-01,62.0712
2011-09-01,62.0083
2011-10-01,61.6189
2011-11-01,61.9371
2011-12-01,62.6018
2012-01-01,63.3371
2012-02-01,64.6758
2012-03-01,65.2316
2012-04-01,65.8656
2012-05-01,66.5807
2012-06-01,67.3858
2012-07-01,67.382
2012-08-01,66.8553
2012-09-01,67.7315
2012-10-01,69.0897
2012-11-01,69.1226
2012-12-01,69.5875
2013-01-01,70.4669
2013-02-01,70.427
2013-03-01,71.0598
2013-04-01,72.263
2013-05-01,73.138
2013-06-01,73.8824
2013-07-01,75.2342
2013-08-01,76.0708
2013-09-01,76.5981
2013-10-01,77.4965
2013-11-01,78.0483
2013-12-01,78.0188
2014-01-01,78.0301
2014-02-01,79.4132
2014-03-01,80.6162
2014-04-01,81.3514
2014-05-01,82.7648
2014-06-01,83.3697
2014-07-01,83.594
2014-08-01,84.0161
2014-09-01,84.284
2014-10-01,84.4375
2014-11-01,84.9246
2014-12-01,84.8205
2015-01-01,84.7267
2015-02-01,85.0355
2015-03-01,85.1258
2015-04-01,85.9639
2015-05-01,85.9928
2015-06-01,86.3015
2015-07-01,85.9757
2015-08-01,85.6276
2015-09-01,85.7667
2015-10-01,86.2955
2015-11-01,85.0981
2015-12-01,86.2915
2016-01-01,87.1472
2016-02-01,87.6499
2016-03-01,88.2069
2016-04-01,88.6523
2016-05-01,89.4616
2016-06-01,89.7012
2016-07-01,90.7533
2016-08-01,91.7981
2016-09-01,93.9054
2016-10-01,95.8151
2016-11-01,96.6966
2016-12-01,96.8313
2017-01-01,96.4168
2017-02-01,96.2655
2017-03-01,97.0129
2017-04-01,99.5548
2017-05-01,100.1054
2017-06-01,100.1757
2017-07-01,99.429
2017-08-01,99.6825
2017-09-01,100.8131
2017-10-01,102.268
2017-11-01,103.2874
2017-12-01,104.9889
2018-01-01,105.822
2018-02-01,105.2325
2018-03-01,104.9536
2018-04-01,105.903
2018-05-01,106.8531
2018-06-01,108.8766
2018-07-01,110.277
2018-08-01,111.6236
2018-09-01,111.2098
2018-10-01,111.0812
2018-11-01,110.0926
2018-12-01,110.4043
2019-01-01,112.1214
2019-02-01,113.1414
2019-03-01,113.7337
2019-04-01,113.4358
2019-05-01,113.5462
2019-06-01,114.1652
2019-07-01,114.7055
2019-08-01,115.8765
2019-09-01,114.4662
2019-10-01,113.6984
2019-11-01,115.3642
2019-12-01,116.7778
2020-01-01,116.2458
2020-02-01,114.9635
2020-03-01,115.4664
2020-04-01,112.5278
2020-05-01,111.0763
2020-06-01,112.2171
2020-07-01,113.9219
2020-08-01,114.5189
2020-09-01,117.2931
2020-10-01,120.6404
2020-11-01,122.3439
2020-12-01,123.3314
2021-01-01,123.9379
2021-02-01,124.0018
2021-03-01,125.5531
2021-04-01,128.0227
2021-05-01,129.6866
2021-06-01,127.6166
2021-07-01,124.6463
2021-08-01,124.3454
2021-09-01,124.8352
2021-10-01,126.6029
2021-11-01,128.5479
2021-12-01,129.7023
2022-01-01,129.8243
2022-02-01,132.2678
2022-03-01,132.7822
2022-04-01,131.8411
2022-05-01,133.0694
2022-06-01,135.0736
2022-07-01,136.2475
2022-08-01,137.1268
2022-09-01,138.4723
2022-10-01,137.6481
2022-11-01,137.4305
2022-12-01,134.7532
2023-01-01,134.424
2023-02-01,136.949
2023-03-01,137.67
2023-04-01,141.0218
2023-05-01,142.3662
2023-06-01,142.3647
2023-07-01,144.5444
2023-08-01,143.733
2023-09-01,143.9663
2023-10-01,146.5466
2023-11-01,147.3698
2023-12-01,147.8423
2024-01-01,148.1202
2024-02-01,147.6236
2024-03-01,148.5688
2024-04-01,149.9856
2024-05-01,153.0475
2024-06-01,153.2815
