period,ip
2000M01,13.8021
2000M02,14.273
2000M03,14.7545
2000M04,15.2583
2000M05,15.8426
2000M06,16.1522
2000M07,16.7131
2000M08,17.0097
2000M09,17.2867
2000M10,17.4958
2000M11,17.8917
2000M12,18.237
2001M01,18.2204
2001M02,18.0677
2001M03,18.104
2001M04,17.8239
2001M05,17.6085
2001M06,17.2656
2001M07,16.6827
2001M08,16.5441
2001M09,16.5629
2001M10,16.5893
2001M11,16.3751
2001M12,16.6852
2002M01,16.5495
2002M02,16.8955
2002M03,17.0353
2002M04,17.1403
2002M05,17.1559
2002M06,17.3253
2002M07,17.4359
2002M08,17.6788
2002M09,17.8025
2002M10,17.7939
2002M11,17.9672
2002M12,18.0719
2003M01,18.3215
2003M02,18.9014
2003M03,19.1739
2003M04,19.5311
2003M05,20.058
2003M06,20.7049
2003M07,21.4347
2003M08,21.9273
2003M09,22.4611
2003M10,23.0658
2003M11,23.5645
2003M12,23.8546
2004M01,24.3813
2004M02,24.7195
2004M03,24.8805
2004M04,24.8539
2004M05,25.0189
2004M06,25.0891
2004M07,25.1256
2004M08,25.3739
2004M09,25.6875
2004M10,25.9481
2004M11,26.1413
2004M12,26.5677
2005M01,27.2681
2005M02,27.8817
2005M03,28.1656
2005M04,28.7421
2005M05,29.157
2005M06,29.4729
2005M07,30.0562
2005M08,30.7655
2005M09,31.5999
2005M10,32.3862
2005M11,32.8017
2005M12,33.2577
2006M01,33.5912
2006M02,34.0685
2006M03,34.3976
2006M04,34.7394
2006M05,35.3371
2006M06,35.9025
2006M07,36.1698
2006M08,36.9883
2006M09,37.8108
2006M10,38.1191
2006M11,38.5951
2006M12,39.0399
2007M01,39.4882
2007M02,40.2802
2007M03,41.8711
2007M04,43.3775
2007M05,42.9784
2007M06,41.8439
2007M07,41.9895
2007M08,42.6452
2007M09,43.8257
2007M10,45.6191
2007M11,47.364
2007M12,48.8301
2008M01,49.3875
2008M02,50.7934
2008M03,52.0766
2008M04,52.6086
2008M05,52.9591
2008M06,52.8538
2008M07,51.8126
2008M08,51.0969
2008M09,50.0545
2008M10,47.8443
2008M11,44.995
2008M12,42.3068
2009M01,41.5686
2009M02,41.9793
2009M03,42.6714
2009M04,43.2371
2009M05,43.6566
2009M06,43.9013
2009M07,44.4481
2009M08,44.6705
2009M09,45.3919
2009M10,46.0884
2009M11,46.9579
2009M12,47.4097
2010M01,49.1876
2010M02,51.014
2010M03,52.4241
2010M04,53.2657
2010M05,53.8535
2010M06,54.0758
2010M07,54.8162
2010M08,55.5127
2010M09,55.9626
2010M10,56.439
2010M11,57.6833
2010M12,59.4669
2011M01,60.4516
2011M02,60.711
2011M03,60.4745
2011M04,60.3898
2011M05,60.7445
2011M06,61.1632
2011M07,61.0799
2011M08,62.3094
2011M09,62.3576
2011M10,61.987
2011M11,62.3708
2011M12,63.1369
2012M01,63.8389
2012M02,65.1558
2012M03,65.8198
2012M04,66.6155
2012M05,67.3329
2012M06,68.1678
2012M07,68.1792
2012M08,67.6387
2012M09,68.5141
2012M10,69.8666
2012M11,69.8933
2012M12,70.2998
2013M01,71.1096
2013M02,71.0999
2013M03,71.6249
2013M04,72.9091
2013M05,73.7592
2013M06,74.4751
2013M07,75.8112
2013M08,76.6578
