Period,PrimaryValue
2010-01-31,22406359264.669
2010-02-28,20333999149.419
2010-03-31,25184049761.993
2010-04-30,24106154399.569
2010-05-31,24472009839.461998
2010-06-30,26460742321.122
2010-07-31,26975374808.492
2010-08-31,28139986508.666
2010-09-30,28839851414.649002
2010-10-31,27707563629.145
2010-11-30,24993888698.416
2010-12-31,24675085649.283
2011-01-31,25873431168.529
2011-02-28,23168477658.71
2011-03-31,27742993195.981
2011-04-30,25052982770.917
2011-05-31,25286793508.504
2011-06-30,25788961259.607
2011-07-31,26191288958.212
2011-08-31,26632140444.303
2011-09-30,27231467111.791
2011-10-31,25223901156.088
2011-11-30,25709079518.447998
2011-12-31,25136468824.032
2012-01-31,23323943108.496
2012-02-29,24440842415.441
2012-03-31,27081841168.693
2012-04-30,24032236568.747
2012-05-31,25668046767.641
2012-06-30,26704543845.886
2012-07-31,26631261635.286
2012-08-31,27503927449.265
2012-09-30,28545095774.93
2012-10-31,21155805660.689
2012-11-30,20426307032.762
2012-12-31,19209726696.813
2013-01-31,22208204509.564
2013-02-28,19570663470.813
2013-03-31,23265163932.473
2013-04-30,17549495999.413
2013-05-31,24178184799.601
2013-06-30,23812615795.56
2013-07-31,23985348210.083
2013-08-31,24819340326.976
2013-09-30,26217559656.52
2013-10-31,27115368839.658
2013-11-30,23832720662.625
2013-12-31,23150136611.364
2014-01-31,21684861077.44
2014-02-28,20336475129.945
2014-03-31,23277462049.628998
2014-04-30,23602980022.647
2014-05-31,22690422651.917
2014-06-30,22809995975.662
2014-07-31,21402683806.13
2014-08-31,23210404022.56
2014-09-30,24945165674.869
2014-10-31,24062872954.654
2014-11-30,22734601356.455
2014-12-31,23002194313.872
2015-01-31,24873153577.439
2015-02-28,21574058415.987
2015-03-31,24342304833.629
2015-04-30,23768811518.147
2015-05-31,23362579795.587
2015-06-30,24418991631.571
2015-07-31,24891117741.075
2015-08-31,24050272213.241
2015-09-30,25489242406.87
2015-10-31,26129397360.167
2015-11-30,23156172252.654
2015-12-31,22003745202.561
2016-01-31,28706004647.478
2016-02-29,26626122001.737
2016-03-31,32206775154.165
2016-04-30,29543233157.005
2016-05-31,29368722659.893
2016-06-30,31629129861.68
2016-07-31,32099966168.253
2016-08-31,34751046010.253
2016-09-30,35785802899.731
2016-10-31,34812464510.024
2016-11-30,34728212166.717
2016-12-31,35837863996.313
2017-01-31,33062351082.626
2017-02-28,32236025791.389
2017-03-31,36569083860.375
2017-04-30,34160063435.007
2017-05-31,36088160069.53
2017-06-30,38043718460.387
2017-07-31,38676208840.548996
2017-08-31,42029587838.342
2017-09-30,43162942721.163
2017-10-31,42243766915.647
2017-11-30,43558990915.835
2017-12-31,41415720899.903
2018-01-31,42426928623.682
2018-02-28,36088334208.199
2018-03-31,43647012963.158
2018-04-30,41804655031.847
2018-05-31,43370132705.494
2018-06-30,42995218847.635
2018-07-31,45976333320.767
2018-08-31,46240302082.722
2018-09-30,46794567948.832
2018-10-31,48405900311.026
2018-11-30,44769214979.843
2018-12-31,40859249917.736
2019-01-31,43821210046.383
2019-02-28,35851268792.494
2019-03-31,42371168120.13
2019-04-30,41666741300.951
2019-05-31,41525414852.863
2019-06-30,42097342748.302
2019-07-31,46363904081.839
2019-08-31,46793382690.847
2019-09-30,46807696219.415
2019-10-31,48107473169.993004
2019-11-30,45602375054.915
2019-12-31,45048029733.625
2020-01-31,42978711334.937
2020-02-29,41633166954.364
2020-03-31,46334180668.555
2020-04-30,43265764177.842
2020-05-31,43326131426.326996
2020-06-30,47132523243.942
2020-07-31,51557138864.832
2020-08-31,51172622851.328
2020-09-30,56335694188.105995
2020-10-31,55553760120.22
2020-11-30,53685399838.653
2020-12-31,55642466068.049
2021-01-31,53131434236.72
2021-02-28,46569174035.983
2021-03-31,57266683434.697
2021-04-30,54771260297.888
2021-05-31,54448614050.926
2021-06-30,59686420213.531
2021-07-31,61306107055.858
2021-08-31,64287974526.692
2021-09-30,66719078297.804
2021-10-31,64008250670.292
2021-11-30,68831547157.692
2021-12-31,71830691504.32
2022-01-31,64036739040.658
2022-02-28,56482026338.611
2022-03-31,68437512722.543
2022-04-30,63143484467.451
2022-05-31,61473182820.139
2022-06-30,65680196013.57
2022-07-31,64353332861.178
2022-08-31,64471568082.627
2022-09-30,66533708997.543
2022-10-31,63273896090.389
2022-11-30,55479569928.961
2022-12-31,58234924556.347
2023-01-31,48186354328.536
2023-02-28,45830324003.453
2023-03-31,52063155884.328
2023-04-30,47259962499.361
2023-05-31,46959186588.938
2023-06-30,51504738317.968
2023-07-31,40245987141.654
2023-08-31,41129664429.742004
