,RemovedNode,Count
0,AFG,52
1,AGO,1
2,ALB,3
3,AND,77
4,ARM,19
5,ATG,107
6,AZE,1
7,BDI,89
8,BEN,103
9,BFA,78
10,BHS,80
11,BLZ,123
12,BOL,2
13,BRB,67
14,BRN,64
15,BTN,99
16,BWA,77
17,CAF,72
18,CIV,10
19,CMR,34
20,COD,61
21,COG,72
22,COM,44
23,CPV,143
24,CUB,34
25,DJI,99
26,DMA,67
27,DOM,1
28,ERI,79
29,ETH,24
30,FJI,74
31,FSM,38
32,GAB,105
33,GIN,103
34,GMB,84
35,GNB,74
36,GNQ,129
37,GRD,97
38,GTM,1
39,GUY,126
40,HND,17
41,HTI,117
42,IRQ,1
43,JAM,76
44,KGZ,97
45,KHM,61
46,KIR,26
47,KNA,154
48,LAO,121
49,LBR,116
50,LBY,49
51,LCA,94
52,LSO,159
53,MDG,46
54,MDV,76
55,MHL,83
56,MLI,113
57,MMR,44
58,MNE,13
59,MNG,69
60,MOZ,64
61,MRT,104
62,MUS,1
63,MWI,115
64,NAM,56
65,NER,108
66,NIC,58
67,NPL,59
68,NRU,34
69,PLW,21
70,PNG,115
71,PRK,103
72,PRY,3
73,RWA,92
74,SDN,63
75,SEN,18
76,SLB,129
77,SLE,114
78,SLV,1
79,SMR,38
80,SOM,91
81,SSD,65
82,STP,107
83,SUR,64
84,SWZ,124
85,SYC,97
86,SYR,80
87,TCD,106
88,TGO,108
89,TJK,112
90,TKM,101
91,TLS,105
92,TON,44
93,TTO,30
94,TUV,11
95,TZA,4
96,UGA,9
97,UZB,12
98,VCT,83
99,VEN,6
100,VUT,93
101,WSM,82
102,YEM,79
103,ZMB,26
104,ZWE,43
