DATE,IPHITEK2S
1967-01-01,0.0443
1967-02-01,0.0445
1967-03-01,0.0444
1967-04-01,0.0441
1967-05-01,0.0439
1967-06-01,0.0444
1967-07-01,0.0443
1967-08-01,0.0448
1967-09-01,0.0449
1967-10-01,0.0457
1967-11-01,0.0469
1967-12-01,0.0474
1968-01-01,0.0476
1968-02-01,0.0486
1968-03-01,0.0483
1968-04-01,0.0474
1968-05-01,0.0486
1968-06-01,0.0491
1968-07-01,0.0485
1968-08-01,0.0496
1968-09-01,0.0497
1968-10-01,0.0500
1968-11-01,0.0503
1968-12-01,0.0505
1969-01-01,0.0514
1969-02-01,0.0514
1969-03-01,0.0525
1969-04-01,0.0532
1969-05-01,0.0538
1969-06-01,0.0544
1969-07-01,0.0551
1969-08-01,0.0560
1969-09-01,0.0564
1969-10-01,0.0571
1969-11-01,0.0569
1969-12-01,0.0568
1970-01-01,0.0568
1970-02-01,0.0559
1970-03-01,0.0559
1970-04-01,0.0566
1970-05-01,0.0557
1970-06-01,0.0549
1970-07-01,0.0554
1970-08-01,0.0536
1970-09-01,0.0528
1970-10-01,0.0515
1970-11-01,0.0505
1970-12-01,0.0507
1971-01-01,0.0498
1971-02-01,0.0495
1971-03-01,0.0496
1971-04-01,0.0494
1971-05-01,0.0495
1971-06-01,0.0501
1971-07-01,0.0510
1971-08-01,0.0511
1971-09-01,0.0520
1971-10-01,0.0526
1971-11-01,0.0534
1971-12-01,0.0545
1972-01-01,0.0573
1972-02-01,0.0577
1972-03-01,0.0579
1972-04-01,0.0584
1972-05-01,0.0590
1972-06-01,0.0590
1972-07-01,0.0602
1972-08-01,0.0607
1972-09-01,0.0616
1972-10-01,0.0631
1972-11-01,0.0641
1972-12-01,0.0659
1973-01-01,0.0667
1973-02-01,0.0683
1973-03-01,0.0690
1973-04-01,0.0700
1973-05-01,0.0715
1973-06-01,0.0747
1973-07-01,0.0734
1973-08-01,0.0769
1973-09-01,0.0777
1973-10-01,0.0805
1973-11-01,0.0827
1973-12-01,0.0839
1974-01-01,0.0860
1974-02-01,0.0877
1974-03-01,0.0888
1974-04-01,0.0885
1974-05-01,0.0894
1974-06-01,0.0904
1974-07-01,0.0905
1974-08-01,0.0845
1974-09-01,0.0902
1974-10-01,0.0904
1974-11-01,0.0873
1974-12-01,0.0856
1975-01-01,0.0836
1975-02-01,0.0802
1975-03-01,0.0795
1975-04-01,0.0785
1975-05-01,0.0783
1975-06-01,0.0777
1975-07-01,0.0795
1975-08-01,0.0802
1975-09-01,0.0820
1975-10-01,0.0831
1975-11-01,0.0835
1975-12-01,0.0868
1976-01-01,0.0880
1976-02-01,0.0888
1976-03-01,0.0910
1976-04-01,0.0934
1976-05-01,0.0970
1976-06-01,0.0985
1976-07-01,0.1014
1976-08-01,0.1038
1976-09-01,0.1079
1976-10-01,0.1103
1976-11-01,0.1121
1976-12-01,0.1146
1977-01-01,0.1139
1977-02-01,0.1193
1977-03-01,0.1201
1977-04-01,0.1241
1977-05-01,0.1269
1977-06-01,0.1313
1977-07-01,0.1322
1977-08-01,0.1362
1977-09-01,0.1384
1977-10-01,0.1405
1977-11-01,0.1433
1977-12-01,0.1456
1978-01-01,0.1457
1978-02-01,0.1489
1978-03-01,0.1546
1978-04-01,0.1560
1978-05-01,0.1590
1978-06-01,0.1634
1978-07-01,0.1661
1978-08-01,0.1697
1978-09-01,0.1725
1978-10-01,0.1769
1978-11-01,0.1824
1978-12-01,0.1852
1979-01-01,0.1903
1979-02-01,0.1948
1979-03-01,0.1980
1979-04-01,0.1959
1979-05-01,0.2019
1979-06-01,0.2090
1979-07-01,0.2127
1979-08-01,0.2180
1979-09-01,0.2219
1979-10-01,0.2277
1979-11-01,0.2357
1979-12-01,0.2412
1980-01-01,0.2471
1980-02-01,0.2514
1980-03-01,0.2543
1980-04-01,0.2579
1980-05-01,0.2593
1980-06-01,0.2580
1980-07-01,0.2596
1980-08-01,0.2643
1980-09-01,0.2669
1980-10-01,0.2722
1980-11-01,0.2760
1980-12-01,0.2826
1981-01-01,0.2871
1981-02-01,0.2902
1981-03-01,0.2929
1981-04-01,0.3009
1981-05-01,0.3047
1981-06-01,0.3084
1981-07-01,0.3119
1981-08-01,0.3195
