"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20010101","2001","1","200101","579","NOR","Norway","X","Export","246","FIN","Finland","0","W00","World","H1","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","676655","false","5","u","676655","false","818","false","0","false","0","1087262.245","1087262.245","0","false","true",
"C","M","20010101","2001","1","200101","757","CHE","Switzerland","X","Export","246","FIN","Finland","0","W00","World","H1","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","797","false","0","false","0","942722.476","942722.476","2","false","true",
"C","M","20010101","2001","1","200101","251","FRA","France","X","Export","764","THA","Thailand","0","W00","World","H1","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1821616.426","true","-1","N/A","0","false","3855.012","true","0","false","0","7555251.056","7555251.056","6","false","true",
"C","M","20010101","2001","1","200101","380","ITA","Italy","X","Export","764","THA","Thailand","0","W00","World","H1","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","97","false","0","false","0","60642.913","60642.913","0","false","true",
"C","M","20010101","2001","1","200101","757","CHE","Switzerland","X","Export","764","THA","Thailand","0","W00","World","H1","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","346.664","true","0","false","0","752574.318","752574.318","6","false","true",
"C","M","20010101","2001","1","200101","251","FRA","France","X","Export","372","IRL","Ireland","0","W00","World","H1","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","42411.461","true","0","false","0","16457971.649","16457971.649","6","false","true",
"C","M","20010101","2001","1","200101","380","ITA","Italy","X","Export","372","IRL","Ireland","0","W00","World","H1","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","12545.567","true","-1","N/A","0","false","129","false","0","false","0","64164.278","64164.278","2","false","true",
"C","M","20010101","2001","1","200101","579","NOR","Norway","X","Export","372","IRL","Ireland","0","W00","World","H1","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","74200","false","5","u","74200","false","1006","false","0","false","0","439769.8","439769.8","0","false","true",
"C","M","20010101","2001","1","200101","757","CHE","Switzerland","X","Export","372","IRL","Ireland","0","W00","World","H1","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","184.148","true","0","false","0","429130.12","429130.12","6","false","true",
"C","M","20010101","2001","1","200101","792","TUR","Türkiye","X","Export","372","IRL","Ireland","0","W00","World","H1","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","23.912","true","-1","N/A","0","false","2","false","0","false","0","754","754","2","false","true",
