"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20080101","2008","1","200801","68","BOL","Bolivia (Plurinational State of)","X","Export","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","5.25","false","5.25","false","0","18","18","0","false","true",
"C","M","20080101","2008","1","200801","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","7937.004","true","0","false",,"3605212","3605212","4","false","true",
"C","M","20080101","2008","1","200801","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","false","0","false","0","300483.973","300483.973","2","false","true",
"C","M","20080101","2008","1","200801","214","DOM","Dominican Rep.","X","Export","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1","false","0","false","0","501.4","501.4","0","false","true",
"C","M","20080101","2008","1","200801","222","SLV","El Salvador","X","Export","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","37.17","false","0","false","0","35104.08","35104.08","0","false","true",
"C","M","20080101","2008","1","200801","233","EST","Estonia","X","Export","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","3550.984","false","0","false","0","935631.6","935631.6","0","false","true",
"C","M","20080101","2008","1","200801","251","FRA","France","X","Export","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","520663225.361","520663225.361","0","false","true",
"C","M","20080101","2008","1","200801","276","DEU","Germany","X","Export","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","988755.43","true",,"false",,"1242050075.409","1242050075.409","0","false","true",
"C","M","20080101","2008","1","200801","372","IRL","Ireland","X","Export","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","89969","false","0","false","0","494738609.254","494738609.254","0","false","true",
"C","M","20080101","2008","1","200801","380","ITA","Italy","X","Export","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","361576","false","0","false","0","159560618.597","159560618.597","0","false","true",
"C","M","20080101","2008","1","200801","384","CIV","Côte d'Ivoire","X","Export","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"958.187","958.187","0","false","true",
"C","M","20080101","2008","1","200801","426","LSO","Lesotho","X","Export","0","W00","World","0","W00","World","H1","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","1","false","1","false","1","false",,"446.734","446.734","0","false","true",
"C","M","20080101","2008","1","200801","428","LVA","Latvia","X","Export","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","4402.877","true","0","false","0","1196820.629","1196820.629","4","false","true",
"C","M","20080101","2008","1","200801","440","LTU","Lithuania","X","Export","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","3146.852","false","0","false","0","424452","424452","0","false","true",
"C","M","20080101","2008","1","200801","450","MDG","Madagascar","X","Export","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","48.83","false","0","false","0","11627.432","11627.432","0","false","true",
"C","M","20080101","2008","1","200801","504","MAR","Morocco","X","Export","0","W00","World","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","8343.022","true","0","false","0","875429.802","875429.802","4","false","true",
"C","M","20080101","2008","1","200801","579","NOR","Norway","X","Export","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","29360","false","0","false","0","13478519.028","13478519.028","0","false","true",
"C","M","20080101","2008","1","200801","616","POL","Poland","X","Export","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","58545.582","true","0","false","0","7406267","7406267","4","false","true",
"C","M","20080101","2008","1","200801","642","ROU","Romania","X","Export","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","129758.94","false","0","false","0","5306212.89","5306212.89","0","false","true",
"C","M","20080101","2008","1","200801","724","ESP","Spain","X","Export","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","314114.506","true","0","false",,"41193694.025","41193694.025","4","false","true",
"C","M","20080101","2008","1","200801","757","CHE","Switzerland","X","Export","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","40727.586","true","0","false","0","40614922.227","40614922.227","6","false","true",
"C","M","20080101","2008","1","200801","792","TUR","Türkiye","X","Export","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","59723","false","0","false","0","1200422","1200422","0","false","true",
"C","M","20080101","2008","1","200801","807","MKD","North Macedonia","X","Export","0","W00","World","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","72","false","5","u","72","false","0","false","0","false","0","2475.51","2475.51","0","false","true",
"C","M","20080101","2008","1","200801","76","BRA","Brazil","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","223","false","0","false",,"4745","4745","0","false","true",
"C","M","20080101","2008","1","200801","233","EST","Estonia","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","28.25","false","0","false","0","608.23","608.23","0","false","true",
"C","M","20080101","2008","1","200801","251","FRA","France","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","10725.238","true","0","false","0","15837308.255","15837308.255","6","false","true",
"C","M","20080101","2008","1","200801","276","DEU","Germany","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","17855","false",,"false",,"30113170.465","30113170.465","0","false","true",
"C","M","20080101","2008","1","200801","372","IRL","Ireland","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","1695","false","0","false","0","2177656.909","2177656.909","2","false","true",
"C","M","20080101","2008","1","200801","380","ITA","Italy","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","610","false","0","false","0","1508443.882","1508443.882","2","false","true",
"C","M","20080101","2008","1","200801","428","LVA","Latvia","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","122","false","0","false","0","111779.576","111779.576","0","false","true",
"C","M","20080101","2008","1","200801","579","NOR","Norway","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","228","false","8","kg","228","false","228","false","0","false","0","93538.321","93538.321","0","false","true",
"C","M","20080101","2008","1","200801","616","POL","Poland","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3598.399","true","-1","N/A","0","false","6.624","true","0","false","0","6304","6304","6","false","true",
"C","M","20080101","2008","1","200801","642","ROU","Romania","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","244.67","false","0","false","0","10914.53","10914.53","0","false","true",
"C","M","20080101","2008","1","200801","724","ESP","Spain","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","29421.12","false","0","false",,"1553659.905","1553659.905","0","false","true",
"C","M","20080101","2008","1","200801","757","CHE","Switzerland","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","340","false","0","false","0","1403041.511","1403041.511","0","false","true",
"C","M","20080101","2008","1","200801","792","TUR","Türkiye","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","12757","false","0","false","0","115758","115758","0","false","true",
"C","M","20080101","2008","1","200801","276","DEU","Germany","X","Export","688","SRB","Serbia","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","165.925","true",,"false",,"153514.07","153514.07","0","false","true",
"C","M","20080101","2008","1","200801","380","ITA","Italy","X","Export","688","SRB","Serbia","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","90030.586","true","-1","N/A","0","false","1147","false","0","false","0","185144.061","185144.061","2","false","true",
"C","M","20080101","2008","1","200801","616","POL","Poland","X","Export","688","SRB","Serbia","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","2","false","0","false","0","475","475","0","false","true",
"C","M","20080101","2008","1","200801","642","ROU","Romania","X","Export","688","SRB","Serbia","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","6.5","false","0","false","0","11446.74","11446.74","0","false","true",
"C","M","20080101","2008","1","200801","724","ESP","Spain","X","Export","688","SRB","Serbia","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","104.2","false","0","false",,"26957.312","26957.312","0","false","true",
"C","M","20080101","2008","1","200801","757","CHE","Switzerland","X","Export","688","SRB","Serbia","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","8177","false","5","u","8177","false","37","false","0","false","0","43009.564","43009.564","0","false","true",
"C","M","20080101","2008","1","200801","724","ESP","Spain","X","Export","292","GIB","Gibraltar","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","158","false","0","false",,"20767.859","20767.859","0","false","true",
"C","M","20080101","2008","1","200801","757","CHE","Switzerland","X","Export","795","TKM","Turkmenistan","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2","false","5","u","2","false","2","false","0","false","0","220.068","220.068","0","false","true",
"C","M","20080101","2008","1","200801","792","TUR","Türkiye","X","Export","795","TKM","Turkmenistan","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","35","false","0","false","0","3199","3199","2","false","true",
"C","M","20080101","2008","1","200801","251","FRA","France","X","Export","324","GIN","Guinea","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","45.088","true","-1","N/A","0","false","45.088","true","0","false","0","4385.696","4385.696","6","false","true",
"C","M","20080101","2008","1","200801","276","DEU","Germany","X","Export","324","GIN","Guinea","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","2","false",,"false",,"5910.387","5910.387","0","false","true",
"C","M","20080101","2008","1","200801","757","CHE","Switzerland","X","Export","84","BLZ","Belize","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","8","false","5","u","8","false","2","false","0","false","0","515.613","515.613","0","false","true",
"C","M","20080101","2008","1","200801","76","BRA","Brazil","X","Export","222","SLV","El Salvador","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2","false","5","u","2","false","2","false","0","false",,"10","10","0","false","true",
"C","M","20080101","2008","1","200801","276","DEU","Germany","X","Export","222","SLV","El Salvador","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1","false",,"false",,"6359.259","6359.259","0","false","true",
"C","M","20080101","2008","1","200801","616","POL","Poland","X","Export","222","SLV","El Salvador","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","2","false","0","false","0","554","554","0","false","true",
"C","M","20080101","2008","1","200801","724","ESP","Spain","X","Export","222","SLV","El Salvador","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","964","false","964","false","0","false",,"178710.584","178710.584","0","false","true",
"C","M","20080101","2008","1","200801","251","FRA","France","X","Export","854","BFA","Burkina Faso","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","6.67","true","0","false","0","11769.265","11769.265","4","false","true",
"C","M","20080101","2008","1","200801","276","DEU","Germany","X","Export","368","IRQ","Iraq","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1","false",,"false",,"1317.18","1317.18","0","false","true",
"C","M","20080101","2008","1","200801","792","TUR","Türkiye","X","Export","368","IRQ","Iraq","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","16","false","0","false","0","3554","3554","0","false","true",
"C","M","20080101","2008","1","200801","233","EST","Estonia","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","143.34","false","0","false","0","29417.94","29417.94","0","false","true",
"C","M","20080101","2008","1","200801","251","FRA","France","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","277.392","true","0","false","0","103970.425","103970.425","6","false","true",
"C","M","20080101","2008","1","200801","276","DEU","Germany","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","12197","false",,"false",,"13416605.798","13416605.798","0","false","true",
"C","M","20080101","2008","1","200801","380","ITA","Italy","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","236801.256","true","-1","N/A","0","false","2246","false","0","false","0","464926.434","464926.434","2","false","true",
"C","M","20080101","2008","1","200801","428","LVA","Latvia","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","87","false","0","false","0","124852.023","124852.023","0","false","true",
"C","M","20080101","2008","1","200801","440","LTU","Lithuania","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","6994.801","true","-1","N/A","0","false","417.32","false","0","false","0","116861","116861","2","false","true",
"C","M","20080101","2008","1","200801","616","POL","Poland","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","1516","false","0","false","0","580182","580182","2","false","true",
"C","M","20080101","2008","1","200801","724","ESP","Spain","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","65.1","false","0","false",,"152335.466","152335.466","0","false","true",
"C","M","20080101","2008","1","200801","757","CHE","Switzerland","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","418.503","true","0","false","0","1080616.193","1080616.193","4","false","true",
"C","M","20080101","2008","1","200801","792","TUR","Türkiye","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","2","false","0","false","0","191","191","0","false","true",
