"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20240101","2024","1","202401","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","8","false","5","u","8","false","2.5","false","0","false",,"3287.25","3287.25","0","false","true",
"C","M","20240101","2024","1","202401","31","AZE","Azerbaijan","X","Export","203","CZE","Czechia","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","6","false","5","u","6","false","1.4","false","0","false",,"1572.25","1572.25","0","false","true",
"C","M","20240101","2024","1","202401","31","AZE","Azerbaijan","X","Export","348","HUN","Hungary","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2","false","5","u","2","false","1.1","false","0","false",,"1715","1715","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","35.427","false",,"5540233.472","5540233.472","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","56","BEL","Belgium","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","5","u","1","false",,"false","0.006","false",,"2332.308","2332.308","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","76","BRA","Brazil","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","5","u","1","false",,"false","0.004","false",,"11808.557","11808.557","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","90","SLB","Solomon Isds","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0.081","false",,"16215.728","16215.728","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","124","CAN","Canada","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false",,"false","0.085","false",,"23651.706","23651.706","2","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","144","LKA","Sri Lanka","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","5","u","1","false",,"false","0.003","false",,"2310.355","2310.355","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","156","CHN","China","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","264.618","true","2.238","false",,"273583.194","273583.194","6","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","166","CCK","Cocos Isds","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","10","false","5","u","10","false",,"false","0.006","false",,"5765.577","5765.577","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","208","DNK","Denmark","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","5","u","1","false","1.421","true","0.015","false",,"2925.031","2925.031","4","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","251","FRA","France","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","80","false","5","u","80","false",,"false","0.016","false",,"6066.928","6066.928","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","276","DEU","Germany","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false",,"false","0.05","false",,"14971.076","14971.076","2","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","419.699","true","0.829","false",,"688356.175","688356.175","6","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","348","HUN","Hungary","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","8","false","5","u","8","false",,"false","0.066","false",,"24682.817","24682.817","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","360","IDN","Indonesia","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","395.385","true","16.533","false",,"795199.3","795199.3","6","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","380","ITA","Italy","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0.001","false",,"430.406","430.406","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false",,"false","0.031","false",,"71470.673","71470.673","2","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","458","MYS","Malaysia","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","48370","false","5","u","48370","false","135.987","true","0.175","false",,"214320.883","214320.883","4","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","490","S19","Other Asia, nes","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1852","false","5","u","1852","false",,"false","0.846","false",,"209682.211","209682.211","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","516","NAM","Namibia","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0.003","false",,"9965.195","9965.195","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","524","NPL","Nepal","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2","false","5","u","2","false",,"false","0.001","false",,"586.736","586.736","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","528","NLD","Netherlands","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","124","false","5","u","124","false",,"false","0.016","false",,"7416.686","7416.686","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","554","NZL","New Zealand","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","469.79","true","6.6","false",,"810210.291","810210.291","6","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","598","PNG","Papua New Guinea","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false",,"false","0.491","false",,"72041.443","72041.443","2","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","608","PHL","Philippines","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","6002","false","5","u","6002","false",,"false","0.003","false",,"8214.301","8214.301","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","620","PRT","Portugal","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false",,"false","0.147","false",,"30214.233","30214.233","2","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","699","IND","India","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","36","false","5","u","36","false",,"false","0.011","false",,"5529.419","5529.419","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","702","SGP","Singapore","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false",,"false","0.357","false",,"473136.562","473136.562","2","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","710","ZAF","South Africa","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false",,"false","0.014","false",,"14842.686","14842.686","2","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","724","ESP","Spain","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","725","false","5","u","725","false","19.795","true","0.011","false",,"40239.964","40239.964","4","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","752","SWE","Sweden","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false",,"false","0.178","false",,"5017.855","5017.855","2","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","764","THA","Thailand","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","40191","false","5","u","40191","false",,"false","0.024","false",,"117001.238","117001.238","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","784","ARE","United Arab Emirates","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","78","false","5","u","78","false",,"false","0.045","false",,"20554.379","20554.379","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","826","GBR","United Kingdom","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false",,"false","6.056","false",,"474584.11","474584.11","2","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","837","X1 ","Bunkers","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","5","u","1","false",,"false","0.001","false",,"1143.536","1143.536","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","2470.674","true","0.483","false",,"1085761.91","1085761.91","6","false","true",
"C","M","20240101","2024","1","202401","56","BEL","Belgium","X","Export","0","W00","World","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","702036.568","true","0","false",,"211373706.782","211373706.782","4","false","true",
"C","M","20240101","2024","1","202401","56","BEL","Belgium","X","Export","20","AND","Andorra","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","38340.221","true","-1","N/A","0","false","40.41","false","0","false",,"64526.313","64526.313","2","false","true",
"C","M","20240101","2024","1","202401","56","BEL","Belgium","X","Export","36","AUS","Australia","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","124964.744","true","-1","N/A","0","false","93.941","true","0","false",,"423605.908","423605.908","6","false","true",
